Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...)
record_id,text,Record ID,,,,,,,
study_id,text,Study ID,,,integer,,,,
dob,text,Date of birth,,,date_dmy,,,y,
sex,radio,Sex,"1, male | 2, female",,,,,,
enroldate,text,Date of enrolment,,,date_dmy,1/05/2018,12/12/2020,,
enrolage_yrs,calc,Age at enrolment in years,"datediff([dob], [enroldate], ""d"", ""dmy"", true)/365.5",,,,,y,
admisdate,text,Date of admission,,,date_dmy,1/03/2018,12/12/2020,,
dischadate,text,Date of discharge,,,date_dmy,1/03/2018,12/12/2020,,
los,calc,Length of stay,"datediff([admisdate], [dischadate], ""d"", ""dmy"", true) +1",,,,,y,
ethnicity,radio,Ethnicity,"1, iTaukei | 2, Fijian of Indian decent | 3, Fijian of Chinese decent | 4, Other",,,,,y,
ethnispeci,text,Specify ethnicity,,,,,,y,[ethnicity] = '4'
ref_from,yesno,Referred from elsewhere?,,,,,,,
ref_from_where,text,Where were they referred from?,,,,,,,[ref_from] = '1'
ref_to,yesno,Transferred elsewhere?,,,,,,,
ref_to_where,text,Where were they transferred to?,,,,,,,[ref_to] = '1'
adm_outcome,radio,Outcome of admission,"1, discharged | 2, transferred | 3, disability | 4, death",choose disability only if it was acquired during current admission,,,,,
adm_outcome_dis,text,Specify disability ,,,,,,,[adm_outcome] = '3'
diagnosis,checkbox,Case type,"1, Invasive GAS/ streptococcus pyogenes | 2, Invasive SA | 3, ARF | 4, RHD | 5, PSGN | 6, Skin and Soft Tissue Infection | 7, Bone and joint infection | 8, Invasive group C or G streptococcus",condition for which the patient has been admitted,,,,,
scabies,radio,Scabies,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(3)] = '1' or [diagnosis(4)] = '1' or [diagnosis(5)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
impetigoyn,yesno,Impetigo,,,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(3)] = '1' or [diagnosis(4)] = '1' or [diagnosis(5)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
bc,radio,Blood culture,"1, positive | 0, negative | 9999, not collected",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
bcr,checkbox,Blood culture result,"sa, Staphylococcus aureus | nmrsa, nMRSA | mrsa, MRSA | gas, group A streptococcus/ streptococcus pyogenes | gcs, group C streptococcus | ggs, group G streptococcus | oth, other",name of organism,,,,,[bc] = '1'
spec_bc,text,Specify 'other' positive blood culture result,,,,,,,[bcr(oth)] = '1'
stss,radio,Streptococcal toxic shock syndrome,"1, yes | 0, no | 9999, don't know",Please refer to criteria,,,,,[diagnosis(1)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1'
amputation,radio,Amputation,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(7)] = '1' or [diagnosis(6)] = '1' or [diagnosis(8)] = '1'
icuadmit,radio,ICU admission,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
icudays,text,Number of days in ICU,,,,,,,[icuadmit] = '1'
surgery,radio,Surgery,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
spec_surg,text,Specify surgery,,specify type and number of surgeries during admission,,,,,[surgery] = '1'
ventilation,radio,Ventilation,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
vent_days,text,Ventilated for how many days?,,,integer,1,999,,[ventilation] = '1'
ivab,radio,IV antibiotics?,"1, yes | 0, no | 9999, don't know",,,,,,[diagnosis(1)] = '1' or [diagnosis(2)] = '1' or [diagnosis(6)] = '1' or [diagnosis(7)] = '1' or [diagnosis(8)] = '1'
ivab_check,checkbox,Name of IV antibiotic as inpatient,"clox, Cloxacillin | gent, Gentamicin | pen, Penicillin | met, Metronidazole | ery, Erythromycin | cef, Ceftriaxone | cip, Ciprofloxacin | mer, Meropenem | sep, Septrim | oth, Other",,,,,,[ivab] = '1'
ivabduration,text,IV antibiotic duration (days),,,integer,1,999,,[ivab]='1'
